# Time Picea Larix Shrub Sphagnum_hum Sphagnum_hol water_table
9.560273972602741921e+00 -4.081740756473809517e-01 1.227054382407162469e+00 3.827374197731406302e-01 -2.484589786326492078e-01 4.508251134018842476e-01 -3.747349863818101312e-01
9.563013698630129511e+00 -4.083419887101216172e-01 1.218140676003134804e+00 3.773698527394117042e-01 -2.503212962201195602e-01 4.496663059086314362e-01 -3.775636097871206132e-01
9.565753424657517101e+00 -4.085102007469945118e-01 1.209517506708567058e+00 3.719846989684248983e-01 -2.521938285610448860e-01 4.484995989915439019e-01 -3.803358452623601393e-01
9.568493150684904691e+00 -4.086784969283188129e-01 1.201220980809037275e+00 3.665718854481522238e-01 -2.540821242644047406e-01 4.473294171406621555e-01 -3.830514223822862885e-01
9.571232876712292281e+00 -4.088468509272843443e-01 1.193290341939784005e+00 3.611133817178527883e-01 -2.560025027321601865e-01 4.461587103407446686e-01 -3.857277105680023133e-01
9.573972602739679871e+00 -4.090136573219795846e-01 1.185765188923548763e+00 3.555770586291335800e-01 -2.579447807648768687e-01 4.449765128814400783e-01 -3.884371339124287337e-01
9.576712328767067461e+00 -4.091791124028645865e-01 1.178693491557654349e+00 3.499242597846615732e-01 -2.598809413696914206e-01 4.437873982015945185e-01 -3.911131146510803958e-01
9.579452054794455051e+00 -4.093431591889188370e-01 1.171889585491643127e+00 3.442719176723326724e-01 -2.618100181675812599e-01 4.425854761835731899e-01 -3.937104077154591208e-01
9.582191780821842642e+00 -4.095067430020940535e-01 1.165424988507836934e+00 3.387927064667596300e-01 -2.637342977820720802e-01 4.413766236797932452e-01 -3.962395456159205076e-01
9.584931506849232008e+00 -4.096690698038868428e-01 1.159814498872285382e+00 3.337567888450924669e-01 -2.656462954825580258e-01 4.401606038742108540e-01 -3.986225051588652146e-01
9.587671232876619598e+00 -4.098300034761791499e-01 1.154992891935863630e+00 3.291352008571310495e-01 -2.675494473244371951e-01 4.389447760472497406e-01 -4.008650777492871464e-01
9.590410958904007188e+00 -4.099894711474033060e-01 1.150871832151687979e+00 3.248855619115639803e-01 -2.694416317112755532e-01 4.377281668048289553e-01 -4.030959472186610437e-01
9.593150684931394778e+00 -4.101475571039152057e-01 1.147376249703688789e+00 3.209713301852477607e-01 -2.713198915256138100e-01 4.365140494546096983e-01 -4.052829828119425271e-01
9.595890410958782368e+00 -4.103034608281600493e-01 1.144441772056115525e+00 3.173607607293914001e-01 -2.731843122341899854e-01 4.353065077316671250e-01 -4.072810859763712488e-01
9.598630136986169958e+00 -4.104583593623203908e-01 1.142012739962847689e+00 3.140260825474159301e-01 -2.750351343084604383e-01 4.341088929747469738e-01 -4.090604212062689538e-01
9.601369863013557548e+00 -4.106121380616931105e-01 1.140040086830701238e+00 3.109424242819866513e-01 -2.768695307473914569e-01 4.329182095118634943e-01 -4.103302341840213141e-01
9.604109589040945139e+00 -4.107638205324772307e-01 1.138478713337260917e+00 3.080862901696485023e-01 -2.786755855351884525e-01 4.317353326625417709e-01 -4.109092387208963526e-01
9.606849315068332729e+00 -4.109133134370457352e-01 1.137288263489189211e+00 3.054363635641619834e-01 -2.804294062180512359e-01 4.305684190368045394e-01 -4.110382826902568842e-01
9.609589041095720319e+00 -4.110608567844855621e-01 1.136432752233746291e+00 3.029734650073913071e-01 -2.821239455400232909e-01 4.294169145679069821e-01 -4.109269478980852042e-01
9.612328767123107909e+00 -4.112067155695153242e-01 1.135879893430122412e+00 3.006802411297384570e-01 -2.837672397380465172e-01 4.282801994719717675e-01 -4.106056303689317177e-01
9.615068493150495499e+00 -4.113506587133530235e-01 1.135600542931845425e+00 2.985409015520184006e-01 -2.853661915305224506e-01 4.271476229497845334e-01 -4.101394765210771842e-01
9.617808219177883089e+00 -4.114923794822383796e-01 1.135568239525580170e+00 2.965410071150990645e-01 -2.869291704781959385e-01 4.260159570700358667e-01 -4.095144001245128451e-01
